date,open,high,low,close,volume,rsi,signal,position,param_id
2024-03-12,177.77,179.43,172.4101,177.54,87303524.0,15.099715099715112,1,1.0,RSI_fa61415d_20250628_151311
2024-03-13,173.05,176.05,169.15,169.48,106518518.0,12.325581395348848,1,1.0,RSI_fa61415d_20250628_151311
2024-03-14,167.77,171.17,160.51,162.5,126242246.0,9.223892726533961,1,1.0,RSI_fa61415d_20250628_151311
2024-03-15,163.16,165.1845,160.76,163.57,96978832.0,15.67476948868402,1,1.0,RSI_fa61415d_20250628_151311
2024-03-18,170.02,174.72,165.9,173.8,108207608.0,41.015018125323685,0,1.0,RSI_fa61415d_20250628_151311
2024-03-19,172.36,172.82,167.42,171.32,77268528.0,42.9268292682927,0,1.0,RSI_fa61415d_20250628_151311
2024-03-20,173.0,176.25,170.82,175.66,83846726.0,46.17940199335548,0,1.0,RSI_fa61415d_20250628_151311
2024-03-21,176.39,178.18,171.8,172.82,73067414.0,46.740817382307284,0,1.0,RSI_fa61415d_20250628_151311
2024-03-22,166.69,171.2,166.3,170.83,75540637.0,40.92098377812665,0,1.0,RSI_fa61415d_20250628_151311
2024-03-25,168.76,175.24,168.73,172.63,74228615.0,43.83010806735361,0,1.0,RSI_fa61415d_20250628_151311
2024-03-26,178.58,184.25,177.38,177.67,113131227.0,61.13679630133261,0,1.0,RSI_fa61415d_20250628_151311
2024-03-27,181.41,181.91,176.0,179.83,81804043.0,77.12050078247262,0,1.0,RSI_fa61415d_20250628_151311
2024-03-28,177.45,179.57,175.3,175.79,77633508.0,67.49713631156928,0,1.0,RSI_fa61415d_20250628_151311
2024-04-01,176.17,176.75,170.21,175.22,81562127.0,52.81076801266821,0,1.0,RSI_fa61415d_20250628_151311
2024-04-02,164.75,167.69,163.43,166.63,116639094.0,42.524705132292006,0,1.0,RSI_fa61415d_20250628_151311
2024-04-03,164.02,168.82,163.28,168.38,82890791.0,37.352328005559414,0,1.0,RSI_fa61415d_20250628_151311
2024-04-04,170.07,177.19,168.01,171.11,123127860.0,47.0177886292292,0,1.0,RSI_fa61415d_20250628_151311
2024-04-05,169.08,170.86,160.51,164.9,142987603.0,40.98510185466707,0,1.0,RSI_fa61415d_20250628_151311
2024-04-08,169.34,174.5,167.79,172.98,104362520.0,50.44677048761807,0,1.0,RSI_fa61415d_20250628_151311
2024-04-09,172.91,179.22,171.92,176.88,103224375.0,48.96134630554827,0,1.0,RSI_fa61415d_20250628_151311
2024-04-10,173.04,174.93,170.01,171.76,84490407.0,40.15613564283969,0,1.0,RSI_fa61415d_20250628_151311
2024-04-11,172.55,175.88,168.51,174.6,94500987.0,48.50464940939935,0,1.0,RSI_fa61415d_20250628_151311
2024-04-12,172.34,173.8099,170.3644,171.05,64694669.0,45.125087678279186,0,1.0,RSI_fa61415d_20250628_151311
2024-04-15,170.24,170.69,161.38,161.48,100237910.0,44.114285714285714,0,1.0,RSI_fa61415d_20250628_151311
2024-04-16,156.742,158.19,153.75,157.11,96941856.0,37.847746387750725,0,1.0,RSI_fa61415d_20250628_151311
2024-04-17,157.64,158.33,153.78,155.45,82400718.0,32.71523178807945,0,1.0,RSI_fa61415d_20250628_151311
2024-04-18,151.25,152.2,148.7,149.93,96098830.0,33.221250840618694,0,1.0,RSI_fa61415d_20250628_151311
2024-04-19,148.97,150.94,146.22,147.05,87048100.0,17.10225831007361,1,1.0,RSI_fa61415d_20250628_151311
2024-04-22,140.56,144.44,138.8025,142.05,107028504.0,7.010614663046169,1,1.0,RSI_fa61415d_20250628_151311
2024-04-23,143.33,147.26,141.11,144.68,124485654.0,14.387164650184118,1,1.0,RSI_fa61415d_20250628_151311
2024-04-24,162.84,167.97,157.51,162.13,181105220.0,38.15314459433782,0,1.0,RSI_fa61415d_20250628_151311
2024-04-25,158.96,170.88,158.36,170.18,126405121.0,49.23857868020304,0,1.0,RSI_fa61415d_20250628_151311
2024-04-26,168.85,172.12,166.37,168.29,109794440.0,56.88574317492417,0,1.0,RSI_fa61415d_20250628_151311
2024-04-29,188.42,198.87,184.54,194.05,243680048.0,76.07284020327498,0,1.0,RSI_fa61415d_20250628_151311
2024-04-30,186.98,190.95,182.8401,183.28,127004487.0,67.40462789243279,0,1.0,RSI_fa61415d_20250628_151311
2024-05-01,182.0,185.86,179.01,179.99,92829719.0,69.33865156973751,0,1.0,RSI_fa61415d_20250628_151311
2024-05-02,182.86,184.6,176.02,180.01,89148041.0,72.01442693026982,0,1.0,RSI_fa61415d_20250628_151311
2024-05-03,182.1,184.78,178.42,181.19,75491539.0,77.54786036036035,0,1.0,RSI_fa61415d_20250628_151311
2024-05-06,183.8,187.56,182.2,184.76,84390253.0,77.84106696304528,0,1.0,RSI_fa61415d_20250628_151311
2024-05-07,182.4,183.26,177.4,177.81,75007154.0,62.75211450878334,0,1.0,RSI_fa61415d_20250628_151311
2024-05-08,171.59,176.06,170.15,174.72,79966888.0,54.01627742392073,0,1.0,RSI_fa61415d_20250628_151311
2024-05-09,175.01,175.62,171.37,171.97,65950292.0,53.20669222725689,0,1.0,RSI_fa61415d_20250628_151311
2024-05-10,173.05,173.0599,167.75,168.47,72592678.0,13.58200455580861,1,1.0,RSI_fa61415d_20250628_151311
2024-05-13,170.0,175.4,169.0,171.89,66970453.0,29.492257832192948,0,1.0,RSI_fa61415d_20250628_151311
2024-05-14,174.4959,179.49,174.07,177.55,86396172.0,45.952222959522224,0,1.0,RSI_fa61415d_20250628_151311
2024-05-15,179.9,180.0,173.11,173.99,79662993.0,41.06294536817105,0,1.0,RSI_fa61415d_20250628_151311
2024-05-16,174.1,175.79,171.43,174.84,59387220.0,40.47976011994004,0,1.0,RSI_fa61415d_20250628_151311
2024-05-17,173.55,179.63,172.75,177.46,77409845.0,38.734567901234605,0,1.0,RSI_fa61415d_20250628_151311
2024-05-20,177.56,177.754,173.52,174.95,61727375.0,44.88555078683833,0,1.0,RSI_fa61415d_20250628_151311
2024-05-21,175.51,186.875,174.71,186.6,115247812.0,66.26506024096383,0,1.0,RSI_fa61415d_20250628_151311
2024-05-22,182.85,183.8,178.12,180.11,88313477.0,60.10928961748635,0,1.0,RSI_fa61415d_20250628_151311
2024-05-23,181.8,181.9,173.26,173.74,71975496.0,56.10943658706238,0,1.0,RSI_fa61415d_20250628_151311
2024-05-24,174.835,180.08,173.73,179.24,65584478.0,58.12873258128735,0,1.0,RSI_fa61415d_20250628_151311
2024-05-28,176.4,178.25,173.16,176.75,59714120.0,49.04852521408182,0,1.0,RSI_fa61415d_20250628_151311
2024-05-29,174.19,178.15,173.93,176.19,54702649.0,52.817622950819654,0,1.0,RSI_fa61415d_20250628_151311
2024-05-30,178.575,182.67,175.38,178.79,77784755.0,54.8418730080902,0,1.0,RSI_fa61415d_20250628_151311
2024-05-31,178.5,180.32,173.82,178.08,67224602.0,50.79732510288067,0,1.0,RSI_fa61415d_20250628_151311
2024-06-03,178.13,182.6389,174.49,176.29,68559920.0,51.75576519916143,0,1.0,RSI_fa61415d_20250628_151311
2024-06-04,174.775,177.755,174.0,174.77,60056340.0,28.89760970388869,0,1.0,RSI_fa61415d_20250628_151311
2024-06-05,175.35,176.15,172.13,175.0,57935756.0,38.26366559485527,0,1.0,RSI_fa61415d_20250628_151311
2024-06-06,174.6,179.73,172.73,177.94,69887024.0,61.450381679389295,0,1.0,RSI_fa61415d_20250628_151311
2024-06-07,176.13,179.35,175.58,177.48,56244932.0,43.38345864661646,0,1.0,RSI_fa61415d_20250628_151311
2024-06-10,176.06,178.57,173.17,173.79,50869682.0,39.79310344827581,0,1.0,RSI_fa61415d_20250628_151311
2024-06-11,173.92,174.75,167.41,170.66,64688798.0,33.80199179847682,0,1.0,RSI_fa61415d_20250628_151311
2024-06-12,171.12,180.55,169.8,177.29,90372346.0,46.44549763033175,0,1.0,RSI_fa61415d_20250628_151311
2024-06-13,188.39,191.08,181.23,182.47,118984122.0,58.584278451310105,0,1.0,RSI_fa61415d_20250628_151311
2024-06-14,185.8,186.0,176.92,178.01,82038194.0,53.04532577903683,0,1.0,RSI_fa61415d_20250628_151311
2024-06-17,177.92,188.81,177.0,187.44,109786083.0,67.52420470262791,0,1.0,RSI_fa61415d_20250628_151311
2024-06-18,186.56,187.2,182.37,184.86,68974465.0,62.80519480519482,0,1.0,RSI_fa61415d_20250628_151311
2024-06-20,184.68,185.21,179.66,181.57,55893139.0,54.671814671814666,0,1.0,RSI_fa61415d_20250628_151311
2024-06-21,182.3,183.95,180.69,183.01,62922982.0,56.942003514938484,0,1.0,RSI_fa61415d_20250628_151311
2024-06-24,184.97,188.8,182.55,182.58,61992070.0,62.01804757998362,0,1.0,RSI_fa61415d_20250628_151311
2024-06-25,184.4,187.97,182.01,187.35,63677065.0,71.83983250457996,0,1.0,RSI_fa61415d_20250628_151311
2024-06-26,186.54,197.755,186.36,196.37,95537066.0,73.49753694581283,0,1.0,RSI_fa61415d_20250628_151311
2024-06-27,195.17,198.72,194.05,197.42,72650121.0,70.49629832739238,0,1.0,RSI_fa61415d_20250628_151311
2024-06-28,199.55,203.2,195.26,197.88,95388068.0,80.59747459193105,0,1.0,RSI_fa61415d_20250628_151311
2023-06-28,249.7,259.88,248.89,256.24,159743027.0,,0,0.0,RSI_6cf651ae_20250628_151311
2023-06-29,258.03,260.74,253.61,257.5,131283360.0,,0,0.0,RSI_6cf651ae_20250628_151311
2023-06-30,260.6,264.45,259.89,261.77,112611784.0,,0,0.0,RSI_6cf651ae_20250628_151311
2023-07-03,276.49,284.25,275.11,279.82,119685880.0,,0,0.0,RSI_6cf651ae_20250628_151311
2023-07-05,278.82,283.85,277.6,282.48,131530722.0,,0,0.0,RSI_6cf651ae_20250628_151311
2023-07-06,278.09,279.97,272.88,276.54,120707419.0,,0,0.0,RSI_6cf651ae_20250628_151311
2023-07-07,278.43,280.78,273.77,274.43,113877074.0,,0,0.0,RSI_6cf651ae_20250628_151311
2023-07-10,276.47,277.52,265.1,269.61,119424888.0,,0,0.0,RSI_6cf651ae_20250628_151311
2023-07-11,268.65,270.9,266.37,269.79,91962158.0,67.24357342835327,-1,-1.0,RSI_6cf651ae_20250628_151311
2023-07-12,276.325,276.52,271.46,271.99,95672096.0,68.98047722342733,-1,-1.0,RSI_6cf651ae_20250628_151311
2023-07-13,274.59,279.45,270.6,277.9,112643377.0,72.10663198959686,-1,-1.0,RSI_6cf651ae_20250628_151311
2023-07-14,277.01,285.3,276.31,281.38,120062369.0,71.6207276736494,-1,-1.0,RSI_6cf651ae_20250628_151311
2023-07-17,286.625,292.23,283.57,290.38,131036703.0,64.54545454545453,0,-1.0,RSI_6cf651ae_20250628_151311
2023-07-18,290.15,295.26,286.01,293.34,112430213.0,64.83606557377044,0,-1.0,RSI_6cf651ae_20250628_151311
2023-07-19,296.04,299.29,289.5201,291.26,142337536.0,72.48014660965178,-1,-1.0,RSI_6cf651ae_20250628_151311
2023-07-20,279.56,280.93,261.2,262.9,175157173.0,40.227157145278824,0,-1.0,RSI_6cf651ae_20250628_151311
2023-07-21,268.0,268.0,255.8,260.02,160727973.0,41.59509202453984,0,-1.0,RSI_6cf651ae_20250628_151311
2023-07-24,255.85,269.85,254.12,269.06,136996826.0,49.446214534971915,0,-1.0,RSI_6cf651ae_20250628_151311
2023-07-25,272.38,272.9,265.0,265.28,112736277.0,45.0288931693584,0,-1.0,RSI_6cf651ae_20250628_151311
2023-07-26,263.25,268.04,261.75,264.35,95643449.0,39.16173412254043,0,-1.0,RSI_6cf651ae_20250628_151311
2023-07-27,268.31,269.13,255.3,255.71,103688763.0,31.032954041672824,0,-1.0,RSI_6cf651ae_20250628_151311
2023-07-28,259.86,267.25,258.2312,266.44,111346026.0,32.7521613832853,0,-1.0,RSI_6cf651ae_20250628_151311
2023-07-31,267.48,269.08,263.78,267.43,84582172.0,30.787483316031455,0,-1.0,RSI_6cf651ae_20250628_151311
2023-08-01,266.26,266.47,260.25,261.07,83645720.0,28.949937247245856,0,-1.0,RSI_6cf651ae_20250628_151311
2023-08-02,255.57,259.52,250.49,254.11,101741165.0,41.26416219439479,0,-1.0,RSI_6cf651ae_20250628_151311
2023-08-03,252.04,260.49,252.0,259.32,97795545.0,49.335106382978736,0,-1.0,RSI_6cf651ae_20250628_151311
2023-08-04,260.97,264.77,253.11,253.86,99539907.0,34.50876477782306,0,-1.0,RSI_6cf651ae_20250628_151311
2023-08-07,251.45,253.6511,242.76,251.45,111084193.0,35.500104843782765,0,-1.0,RSI_6cf651ae_20250628_151311
2023-08-08,247.45,250.92,245.01,249.7,96630383.0,34.9000206143063,0,-1.0,RSI_6cf651ae_20250628_151311
2023-08-09,250.87,251.1,241.9,242.19,101526974.0,35.73237653018148,0,-1.0,RSI_6cf651ae_20250628_151311
2023-08-10,245.4,251.8,243.0,245.34,109498608.0,23.492462311557787,0,-1.0,RSI_6cf651ae_20250628_151311
2023-08-11,241.77,243.79,238.02,242.65,99038642.0,20.144578313252993,0,-1.0,RSI_6cf651ae_20250628_151311
2023-08-14,235.7,240.66,233.75,239.76,98565731.0,21.98264528004205,0,-1.0,RSI_6cf651ae_20250628_151311
2023-08-15,238.73,240.5,232.61,232.96,88185999.0,22.07552152099285,0,-1.0,RSI_6cf651ae_20250628_151311
2023-08-16,228.02,233.97,225.38,225.6,112426570.0,7.871064467766132,1,1.0,RSI_6cf651ae_20250628_151311
2023-08-17,226.06,226.74,218.83,219.22,120704917.0,7.694186614557907,1,1.0,RSI_6cf651ae_20250628_151311
2023-08-18,214.12,217.58,212.36,215.49,136244960.0,7.453857075248479,1,1.0,RSI_6cf651ae_20250628_151311
2023-08-21,221.5512,232.1343,220.58,231.28,135675321.0,33.64120781527532,0,1.0,RSI_6cf651ae_20250628_151311
2023-08-22,240.25,240.82,229.55,233.19,130586984.0,41.124260355029584,0,1.0,RSI_6cf651ae_20250628_151311
2023-08-23,229.34,238.98,229.29,236.86,101077635.0,41.7219836001562,0,1.0,RSI_6cf651ae_20250628_151311
2023-08-24,238.66,238.92,228.1801,230.04,99777432.0,38.608852755194214,0,1.0,RSI_6cf651ae_20250628_151311
2023-08-25,231.31,239.0,230.35,238.59,106612231.0,49.04114079659073,0,1.0,RSI_6cf651ae_20250628_151311
2023-08-28,242.58,244.38,235.35,238.82,107673727.0,55.38207200587801,0,1.0,RSI_6cf651ae_20250628_151311
2023-08-29,238.58,257.48,237.77,257.18,134012603.0,74.12897310513448,-1,-1.0,RSI_6cf651ae_20250628_151311
2023-08-30,254.2,260.51,250.59,256.9,121978637.0,81.7492416582406,-1,-1.0,RSI_6cf651ae_20250628_151311
2023-08-31,255.98,261.18,255.05,258.08,108861698.0,87.49779890825843,-1,-1.0,RSI_6cf651ae_20250628_151311
2023-09-01,257.26,259.0794,242.01,245.01,132481248.0,62.69650453116328,0,-1.0,RSI_6cf651ae_20250628_151311
2023-09-05,245.0,258.0,244.86,256.49,129455425.0,68.30609679446887,-1,-1.0,RSI_6cf651ae_20250628_151311
2023-09-06,255.135,255.39,245.06,251.92,116952759.0,61.667183142237334,0,-1.0,RSI_6cf651ae_20250628_151311
2023-09-07,245.07,252.81,243.265,251.49,115312886.0,68.44368013757523,-1,-1.0,RSI_6cf651ae_20250628_151311
2023-09-08,251.22,256.52,246.67,248.5,118558435.0,59.42194333523483,0,-1.0,RSI_6cf651ae_20250628_151311
2023-09-11,264.27,274.85,260.61,273.58,174667852.0,72.4431818181818,-1,-1.0,RSI_6cf651ae_20250628_151311
2023-09-12,270.76,278.39,266.6,267.48,135991116.0,57.90119668610004,0,-1.0,RSI_6cf651ae_20250628_151311
2023-09-13,270.07,274.98,268.1,271.3,111673737.0,60.47729918509898,0,-1.0,RSI_6cf651ae_20250628_151311
2023-09-14,271.32,276.7094,270.42,276.04,107709842.0,62.4239070282236,0,-1.0,RSI_6cf651ae_20250628_151311
2023-09-15,277.55,278.98,271.0,274.39,133692313.0,74.1373644429839,-1,-1.0,RSI_6cf651ae_20250628_151311
2023-09-18,271.16,271.44,263.7601,265.28,101540959.0,57.5141049752094,0,-1.0,RSI_6cf651ae_20250628_151311
2023-09-19,264.35,267.85,261.2,266.5,103677113.0,63.2208922742111,0,-1.0,RSI_6cf651ae_20250628_151311
2023-09-20,267.04,273.93,262.4606,262.59,122491643.0,59.46775844421695,0,-1.0,RSI_6cf651ae_20250628_151311
2023-09-21,257.85,260.86,254.21,255.7,119803341.0,55.75815738963531,0,-1.0,RSI_6cf651ae_20250628_151311
2023-09-22,257.4,257.7888,244.48,244.88,127524083.0,20.26523000414427,0,-1.0,RSI_6cf651ae_20250628_151311
2023-09-25,243.38,247.1,238.31,246.99,104583747.0,26.85791732550264,0,-1.0,RSI_6cf651ae_20250628_151311
2023-09-26,242.98,249.55,241.6601,244.12,101934431.0,18.62880886426599,0,-1.0,RSI_6cf651ae_20250628_151311
2023-09-27,244.262,245.33,234.58,240.5,136585184.0,7.890995260663573,1,1.0,RSI_6cf651ae_20250628_151311
2023-09-28,240.02,247.55,238.65,246.38,117043180.0,19.836312728839175,0,1.0,RSI_6cf651ae_20250628_151311
2023-09-29,250.0,254.77,246.35,250.22,128472729.0,31.705539358600646,0,1.0,RSI_6cf651ae_20250628_151311
2023-10-02,244.81,254.2799,242.62,251.6,123810402.0,31.969990319457892,0,1.0,RSI_6cf651ae_20250628_151311
2023-10-03,248.61,250.02,244.45,246.53,101985305.0,31.096986817325828,0,1.0,RSI_6cf651ae_20250628_151311
2023-10-04,248.14,261.86,247.6,261.16,129721567.0,55.43608124253289,0,1.0,RSI_6cf651ae_20250628_151311
2023-10-05,260.0,263.6,256.25,260.05,119159214.0,68.72377190817082,-1,-1.0,RSI_6cf651ae_20250628_151311
2023-10-06,253.98,261.65,250.65,260.53,118108312.0,67.41255144032917,-1,-1.0,RSI_6cf651ae_20250628_151311
2023-10-09,255.31,261.36,252.05,259.67,101377947.0,71.08760509899652,-1,-1.0,RSI_6cf651ae_20250628_151311
2023-10-10,257.75,268.94,257.65,263.62,122656030.0,81.07526881720436,-1,-1.0,RSI_6cf651ae_20250628_151311
2023-10-11,266.2,268.6,260.9,262.99,103706266.0,75.99374021909242,-1,-1.0,RSI_6cf651ae_20250628_151311
2023-10-12,262.92,265.41,256.6307,258.87,111508114.0,63.41917468197335,0,-1.0,RSI_6cf651ae_20250628_151311
2023-10-13,258.9,259.6,250.22,251.12,102137686.0,49.378238341968924,0,-1.0,RSI_6cf651ae_20250628_151311
2023-10-16,250.05,255.3999,248.48,253.92,88916276.0,60.170657858519135,0,-1.0,RSI_6cf651ae_20250628_151311
2023-10-17,250.1,257.183,247.08,254.85,93535509.0,36.05832965090576,0,-1.0,RSI_6cf651ae_20250628_151311
2023-10-18,252.7,254.63,242.08,242.68,125116646.0,24.220837043633026,0,-1.0,RSI_6cf651ae_20250628_151311
2023-10-19,225.95,230.61,216.78,220.11,170588573.0,13.768375761921817,1,1.0,RSI_6cf651ae_20250628_151311
2023-10-20,217.01,218.8606,210.42,211.99,137930095.0,12.182741116751245,1,1.0,RSI_6cf651ae_20250628_151311
2023-10-23,210.0,216.98,202.51,212.08,150453468.0,6.454883406556263,1,1.0,RSI_6cf651ae_20250628_151311
2023-10-24,216.5,222.05,214.11,216.52,118096713.0,13.11319257024924,1,1.0,RSI_6cf651ae_20250628_151311
2023-10-25,215.88,220.1,212.2,212.42,107049087.0,13.117357471811957,1,1.0,RSI_6cf651ae_20250628_151311
2023-10-26,211.32,214.8,204.88,205.76,115095735.0,13.348416289592748,1,1.0,RSI_6cf651ae_20250628_151311
2023-10-27,210.6,212.41,205.77,207.3,94717973.0,11.547344110854539,1,1.0,RSI_6cf651ae_20250628_151311
2023-10-30,209.28,210.88,194.67,197.36,136384317.0,8.717506821772261,1,1.0,RSI_6cf651ae_20250628_151311
2023-10-31,196.12,202.8,194.07,200.84,118053273.0,15.671151952740416,1,1.0,RSI_6cf651ae_20250628_151311
2023-11-01,204.04,205.99,197.85,205.66,121661656.0,33.271590645982855,0,1.0,RSI_6cf651ae_20250628_151311
2023-11-02,212.97,219.2,211.45,218.51,125959421.0,56.80300500834722,0,1.0,RSI_6cf651ae_20250628_151311
2023-11-03,221.15,226.3701,218.4,219.96,119526048.0,57.99512987012986,0,1.0,RSI_6cf651ae_20250628_151311
2023-11-06,223.98,226.32,215.0,219.27,116835820.0,53.01998682187569,0,1.0,RSI_6cf651ae_20250628_151311
2023-11-07,219.98,223.12,215.72,222.18,116897380.0,61.005863779882745,0,1.0,RSI_6cf651ae_20250628_151311
2023-11-08,223.15,224.15,217.64,222.11,106384841.0,71.65562913907289,-1,-1.0,RSI_6cf651ae_20250628_151311
2023-11-09,219.75,220.8,206.68,209.98,142065154.0,52.772031443938744,0,-1.0,RSI_6cf651ae_20250628_151311
2023-11-10,210.03,215.38,205.69,214.65,131295153.0,70.07197585326212,-1,-1.0,RSI_6cf651ae_20250628_151311
2023-11-13,215.6,225.4,211.6101,223.71,140428469.0,73.50462487153133,-1,-1.0,RSI_6cf651ae_20250628_151311
2023-11-14,235.03,238.135,230.72,237.41,149762546.0,77.5942986268034,-1,-1.0,RSI_6cf651ae_20250628_151311
2023-11-15,239.29,246.7,236.45,242.84,150353975.0,74.27659149870284,-1,-1.0,RSI_6cf651ae_20250628_151311
2023-11-16,239.49,240.88,230.96,233.59,136774269.0,61.76826109480227,0,-1.0,RSI_6cf651ae_20250628_151311
2023-11-17,232.0,237.39,226.54,234.3,142766234.0,62.972553081305016,0,-1.0,RSI_6cf651ae_20250628_151311
2023-11-20,234.04,237.1,231.02,235.6,116562402.0,61.91406249999998,0,-1.0,RSI_6cf651ae_20250628_151311
2023-11-21,235.04,243.62,233.34,241.2,122248300.0,65.43249797898139,0,-1.0,RSI_6cf651ae_20250628_151311
2023-11-22,242.04,244.01,231.4,234.21,118117078.0,71.36307529536239,-1,-1.0,RSI_6cf651ae_20250628_151311
2023-11-24,233.75,238.75,232.33,235.45,65125203.0,69.51951951951952,-1,-1.0,RSI_6cf651ae_20250628_151311
2023-11-27,236.89,238.33,232.1,236.08,112031163.0,63.790412486064675,0,-1.0,RSI_6cf651ae_20250628_151311
2023-11-28,236.68,247.0,234.01,246.72,148549913.0,61.1390284757119,0,-1.0,RSI_6cf651ae_20250628_151311
2023-11-29,249.21,252.75,242.76,244.14,135380335.0,51.66923472008216,0,-1.0,RSI_6cf651ae_20250628_151311
2023-11-30,245.14,245.22,236.91,240.08,132353076.0,59.61481481481484,0,-1.0,RSI_6cf651ae_20250628_151311
2023-12-01,233.14,240.19,231.9,238.83,121303661.0,56.60542432195977,0,-1.0,RSI_6cf651ae_20250628_151311
2023-12-04,235.75,239.3733,233.2902,235.58,104088317.0,49.97240618101547,0,-1.0,RSI_6cf651ae_20250628_151311
2023-12-05,233.87,246.66,233.7,238.72,137964815.0,46.32918886915335,0,-1.0,RSI_6cf651ae_20250628_151311
2023-12-06,242.92,246.57,239.1709,239.37,126436179.0,59.40233236151604,0,-1.0,RSI_6cf651ae_20250628_151311
2023-12-07,241.55,244.08,236.98,242.64,107142262.0,62.198846284356975,0,-1.0,RSI_6cf651ae_20250628_151311
2023-12-08,240.27,245.27,239.2701,243.84,103123229.0,62.91611185086551,0,-1.0,RSI_6cf651ae_20250628_151311
2023-12-11,242.74,243.441,237.45,239.74,97911388.0,35.14893617021278,0,-1.0,RSI_6cf651ae_20250628_151311
2023-12-12,238.55,238.99,233.87,237.01,95326563.0,34.9260042283298,0,-1.0,RSI_6cf651ae_20250628_151311
2023-12-13,234.19,240.3,228.2,239.29,146266957.0,48.19387288523087,0,-1.0,RSI_6cf651ae_20250628_151311
2023-12-14,241.22,253.88,240.79,251.05,160645939.0,68.8696726374305,-1,-1.0,RSI_6cf651ae_20250628_151311
2023-12-15,251.21,254.13,248.3,253.5,135857762.0,78.3723875870804,-1,-1.0,RSI_6cf651ae_20250628_151311
2023-12-18,253.78,258.74,251.36,252.08,116388940.0,72.37106496985936,-1,-1.0,RSI_6cf651ae_20250628_151311
2023-12-19,253.48,258.3399,253.01,257.22,106690869.0,75.98253275109172,-1,-1.0,RSI_6cf651ae_20250628_151311
2023-12-20,256.41,259.84,247.0,247.14,125096987.0,55.466472303206984,0,-1.0,RSI_6cf651ae_20250628_151311
2023-12-21,251.9,254.7999,248.55,254.5,109594227.0,61.26373626373625,0,-1.0,RSI_6cf651ae_20250628_151311
2023-12-22,256.76,258.22,251.37,252.54,93368169.0,64.165559982293,0,-1.0,RSI_6cf651ae_20250628_151311
2023-12-26,254.49,257.97,252.91,256.61,86892382.0,71.06620808254513,-1,-1.0,RSI_6cf651ae_20250628_151311
2023-12-27,258.35,263.34,257.52,261.44,106481409.0,72.56979824740165,-1,-1.0,RSI_6cf651ae_20250628_151311
2023-12-28,263.66,265.13,252.71,253.18,113619943.0,52.337063857801176,0,-1.0,RSI_6cf651ae_20250628_151311
